Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Address ID
CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,42420-000001
CA-2016-138688,2016-06-12,2016-06-16,Second Class,DV-13045,90036-000001
US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,33311-000001
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,90032-000001
CA-2017-114412,2017-04-15,2017-04-20,Standard Class,AA-10480,28027-000001
CA-2016-161389,2016-12-05,2016-12-10,Standard Class,IM-15070,98103-000001
US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,76106-000001
CA-2014-105893,2014-11-11,2014-11-18,Standard Class,PK-19075,53711-000001
CA-2014-167164,2014-05-13,2014-05-15,Second Class,AG-10270,84084-000001
CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,94109-000001
CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,68025-000001
US-2017-156909,2017-07-16,2017-07-18,Second Class,SF-20065,19140-000001
CA-2015-106320,2015-09-25,2015-09-30,Standard Class,EB-13870,84057-000001
CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,90049-000001
US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,19140-000001
CA-2017-107727,2017-10-19,2017-10-23,Second Class,MA-17560,77095-000001
CA-2016-117590,2016-12-08,2016-12-10,First Class,GH-14485,75080-000001
CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,77041-000001
CA-2017-120999,2017-09-10,2017-09-15,Standard Class,LC-16930,60540-000001
CA-2016-101343,2016-07-17,2016-07-22,Standard Class,RA-19885,90049-000001
CA-2017-139619,2017-09-19,2017-09-23,Standard Class,ES-14080,32935-000001
CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,55122-000001
CA-2014-146703,2014-10-20,2014-10-25,Second Class,PO-18865,48185-000001
CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,19901-000001
CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,47150-000001
CA-2016-105816,2016-12-11,2016-12-17,Standard Class,JM-15265,10024-000001
CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,12180-000001
CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,90004-000001
US-2015-164175,2015-04-30,2015-05-05,Standard Class,PS-18970,60610-000001
CA-2014-106376,2014-12-05,2014-12-10,Standard Class,BS-11590,85234-000001
