Order ID,Product ID,Sales,Quantity,Discount,Profit
CA-2016-152156,FUR-BO-10001798,26195,2,0.0,4191
CA-2016-152156,FUR-CH-10000454,73194,3,0.0,21958
CA-2016-138688,OFF-LA-10000240,1462,2,0.0,687
US-2015-108966,FUR-TA-10000577,95757,5,0.45,-38303
US-2015-108966,OFF-ST-10000760,2236,2,0.2,251
CA-2014-115812,FUR-FU-10001487,4886,7,0.0,1416
CA-2014-115812,OFF-AR-10002833,728,4,0.0,196
CA-2014-115812,TEC-PH-10002275,90715,6,0.2,9071
CA-2014-115812,OFF-BI-10003910,1850,3,0.2,578
CA-2014-115812,OFF-AP-10002892,11490,5,0.0,3447
CA-2014-115812,FUR-TA-10001539,170618,9,0.2,8530
CA-2014-115812,TEC-PH-10002033,91142,4,0.2,6835
CA-2017-114412,OFF-PA-10002365,1555,3,0.2,544
CA-2016-161389,OFF-BI-10003656,40797,3,0.2,13259
US-2015-118983,OFF-AP-10002311,6881,5,0.8,-12385
US-2015-118983,OFF-BI-10000756,254,3,0.8,-381
CA-2014-105893,OFF-ST-10004186,66588,6,0.0,1331
CA-2014-167164,OFF-ST-10000107,5550,2,0.0,999
CA-2014-143336,OFF-AR-10003056,856,2,0.0,248
CA-2014-143336,TEC-PH-10001949,21348,3,0.2,1601
CA-2014-143336,OFF-BI-10002215,2272,4,0.2,738
CA-2016-137330,OFF-AR-10000246,1946,7,0.0,505
CA-2016-137330,OFF-AP-10001492,6034,7,0.0,1568
US-2017-156909,FUR-CH-10002774,7137,2,0.3,-101
CA-2015-106320,FUR-TA-10000577,104463,3,0.0,24026
CA-2016-121755,OFF-BI-10001634,1164,2,0.2,422
CA-2016-121755,TEC-AC-10003027,9057,3,0.0,1177
US-2015-150630,FUR-BO-10004834,308343,7,0.5,-166505
US-2015-150630,OFF-BI-10000474,961,2,0.7,-705
US-2015-150630,FUR-FU-10004848,12420,3,0.2,1552
US-2015-150630,OFF-EN-10001509,326,2,0.2,110
US-2015-150630,OFF-AR-10004042,8630,6,0.2,970
US-2015-150630,OFF-BI-10001525,685,6,0.7,-571
US-2015-150630,OFF-AR-10001683,1576,2,0.2,354
CA-2017-107727,OFF-PA-10000249,2947,3,0.2,994
CA-2016-117590,TEC-PH-10004977,109754,7,0.2,12347
CA-2016-117590,FUR-FU-10003664,19092,5,0.6,-14796
CA-2015-117415,OFF-EN-10002986,11332,9,0.2,3541
CA-2015-117415,FUR-BO-10002545,53239,3,0.32,-4697
CA-2015-117415,FUR-CH-10004218,21205,3,0.3,-1514
CA-2015-117415,TEC-PH-10000486,37116,4,0.2,4175
CA-2017-120999,TEC-PH-10004093,14716,4,0.2,1655
CA-2016-101343,OFF-ST-10003479,7788,2,0.0,389
